14916641;586.50
14916642;557.83
14916643;633.00
14916644;625.50
14916645;655.50
14916646;586.17
14916647;615.67
14916648;637.50
14916649;656.83
14916650;553.33
14916651;654.00
14916652;541.67
14916653;578.00
14916654;643.33
14916655;616.17
14916656;628.17
14916657;620.67
14916658;629.50
14916659;580.00
14916660;648.33
14916661;631.17
14916662;616.17
14916663;582.67
14916664;607.50
14916665;666.83
14916666;601.50
14916667;616.33
14916668;627.00
14916669;634.83
14916670;541.17
14916671;594.67
14916672;688.67
14916673;580.33
14916674;572.83
14916675;539.50
14916676;600.83
14916677;613.83
14916678;574.83
14916679;655.17
14916680;552.00
14916681;594.67
14916682;624.50
14916683;552.00
14916684;588.50
14916685;561.50
14916686;622.33
14916687;630.67
14916688;674.67
14916689;567.67
14916690;608.50
14916691;586.17
14916692;567.83
14916693;534.00
14916694;672.50
14916695;594.17
14916696;633.33
14916697;657.50
14916698;575.33
14916699;687.00
14916700;606.67
14916701;604.33
14916702;632.33
14916703;574.67
14916704;520.17
14916705;635.00
14916706;660.83
14916707;611.67
14916708;555.67
14916709;604.67
14916710;630.00
14916711;626.67
14916712;615.17
14916713;610.00
14916714;628.50
14916715;664.50
14916716;576.17
14916717;523.83
14916718;623.00
14916719;571.33
14916720;557.17
14916721;587.00
14916722;595.17
14916723;615.50
14916724;608.00
14916725;589.83
14916726;657.33
14916727;650.00
14916728;617.67
14916729;618.83
14916730;609.00
14916731;635.50
14916732;589.67
14916733;624.33
14916734;541.83
14916735;608.50
14916736;630.83
14916737;555.83
14916738;602.33
14916739;613.00
14916740;657.67
14916741;643.17
